k[1], X1 --> X2
k[2], X1 --> X3
k[3], X1 --> X1 + X2
k[4], X1 --> X2 + X3
k[5], X1 --> X1 + X3
k[6], X2 --> X1
k[7], X2 --> X3
k[8], X2 --> X1 + X2
k[9], X2 --> X2 + X3
k[10], X2 --> X1 + X3
k[11], X3 --> X1
k[12], X3 --> X2
k[13], X3 --> X1 + X2
k[14], X3 --> X2 + X3
k[15], X3 --> X1 + X3
k[16], X1 + X2 --> X1
k[17], X1 + X2 --> X2
k[18], X1 + X2 --> X3
k[19], X1 + X2 --> X2 + X3
k[20], X1 + X2 --> X1 + X3
k[21], X2 + X3 --> X1
k[22], X2 + X3 --> X2
k[23], X2 + X3 --> X3
k[24], X2 + X3 --> X1 + X2
k[25], X2 + X3 --> X1 + X3
k[26], X1 + X3 --> X1
k[27], X1 + X3 --> X2
k[28], X1 + X3 --> X3
k[29], X1 + X3 --> X1 + X2
k[30], X1 + X3 --> X2 + X3
