Run 1: 8.44 seconds, loss offset = -3.89
Run 2: 3.99 seconds, loss offset = -3.84
Run 3: 5.69 seconds, loss offset = -3.89
Run 4: 9.30 seconds, loss offset = -3.90
Run 5: 8.00 seconds, loss offset = -3.89
Run 6: 3.65 seconds, loss offset = -3.84
Run 7: 9.16 seconds, loss offset = -3.89
Run 8: 8.10 seconds, loss offset = -3.89
Run 9: 8.11 seconds, loss offset = -3.89
Run 10: 8.02 seconds, loss offset = -3.90
Run 11: 6.30 seconds, loss offset = -3.89
Run 12: 7.66 seconds, loss offset = -3.89
Run 13: 7.83 seconds, loss offset = -3.90
Run 14: 10.53 seconds, loss offset = -3.89
Run 15: 9.02 seconds, loss offset = -3.90
