Run 1: 6.74 seconds, loss offset = -105.18
Run 2: 12.07 seconds, loss offset = -106.69
Run 3: 9.72 seconds, loss offset = -106.68
Run 4: 10.26 seconds, loss offset = -106.69
Run 5: 8.28 seconds, loss offset = -106.69
Run 6: 10.40 seconds, loss offset = -106.68
Run 7: 9.55 seconds, loss offset = -106.69
Run 8: 7.67 seconds, loss offset = -106.12
Run 9: 10.23 seconds, loss offset = -106.69
Run 10: 8.85 seconds, loss offset = -106.69
Run 11: 9.75 seconds, loss offset = -106.66
Run 12: 13.67 seconds, loss offset = -106.66
Run 13: 7.81 seconds, loss offset = -106.69
Run 14: 8.85 seconds, loss offset = -106.68
Run 15: 9.08 seconds, loss offset = -106.68
