Run 1: 7.10 seconds, loss offset = -94.85
Run 2: 6.50 seconds, loss offset = -94.85
Run 3: 9.33 seconds, loss offset = -94.85
Run 4: 9.68 seconds, loss offset = -94.85
Run 5: 5.26 seconds, loss offset = -94.85
Run 6: 5.61 seconds, loss offset = -94.85
Run 7: 7.34 seconds, loss offset = -94.85
Run 8: 7.62 seconds, loss offset = -94.85
Run 9: 6.44 seconds, loss offset = -94.85
Run 10: 9.67 seconds, loss offset = -94.85
Run 11: 7.30 seconds, loss offset = -94.85
Run 12: 6.20 seconds, loss offset = -94.85
Run 13: 7.72 seconds, loss offset = -94.85
Run 14: 7.11 seconds, loss offset = -94.85
Run 15: 6.03 seconds, loss offset = -94.85
