Run 1: 9.12 seconds, loss offset = 1.04
Run 2: 4.19 seconds, loss offset = 3.26
Run 3: 7.53 seconds, loss offset = 0.03
Run 4: 10.59 seconds, loss offset = 1.99
Run 5: 3.45 seconds, loss offset = 7.49
Run 6: 5.45 seconds, loss offset = 1.54
Run 7: 4.57 seconds, loss offset = 7.75
Run 8: 6.09 seconds, loss offset = 0.86
Run 9: 6.24 seconds, loss offset = 0.06
Run 10: 6.67 seconds, loss offset = 1.02
Run 11: 4.18 seconds, loss offset = 0.69
Run 12: 5.98 seconds, loss offset = 3.53
Run 13: 6.75 seconds, loss offset = 1.18
Run 14: 9.49 seconds, loss offset = 2.58
Run 15: 12.56 seconds, loss offset = 4.07
