Run 1: 5.28 seconds, loss offset = 658.68
Run 2: 9.02 seconds, loss offset = 2.96
Run 3: 3.51 seconds, loss offset = 21.01
Run 4: 4.59 seconds, loss offset = 173.96
Run 5: 5.69 seconds, loss offset = 17.16
Run 6: 3.31 seconds, loss offset = 20.69
Run 7: 3.48 seconds, loss offset = 24.17
Run 8: 9.96 seconds, loss offset = 148.66
Run 9: 6.83 seconds, loss offset = 0.73
Run 10: 14.94 seconds, loss offset = 34.40
Run 11: 4.81 seconds, loss offset = 22.35
Run 12: 5.41 seconds, loss offset = 1532.74
Run 13: 5.31 seconds, loss offset = 14.08
Run 14: 3.34 seconds, loss offset = 75.29
Run 15: 4.27 seconds, loss offset = 27.92
