Run 1: 3.77 seconds, loss offset = 0.33
Run 2: 4.13 seconds, loss offset = 110.97
Run 3: 2.95 seconds, loss offset = 13.52
Run 4: 4.28 seconds, loss offset = 113.83
Run 5: 3.68 seconds, loss offset = 11.64
Run 6: 5.79 seconds, loss offset = 9.31
Run 7: 6.11 seconds, loss offset = 64.72
Run 8: 6.17 seconds, loss offset = 66.77
Run 9: 5.33 seconds, loss offset = 63.16
Run 10: 4.04 seconds, loss offset = 78.47
Run 11: 9.47 seconds, loss offset = 0.15
Run 12: 3.89 seconds, loss offset = 48.51
Run 13: 4.18 seconds, loss offset = 62.25
Run 14: 5.28 seconds, loss offset = 25.94
Run 15: 4.47 seconds, loss offset = 72.26
