Run 1: 7.96 seconds, loss offset = 73.35
Run 2: 6.65 seconds, loss offset = 13.19
Run 3: 6.43 seconds, loss offset = 11.55
Run 4: 7.47 seconds, loss offset = 28.23
Run 5: 7.73 seconds, loss offset = 25.30
Run 6: 7.38 seconds, loss offset = 8.89
Run 7: 5.58 seconds, loss offset = 38.12
Run 8: 7.90 seconds, loss offset = 17.59
Run 9: 3.97 seconds, loss offset = 155.27
Run 10: 5.95 seconds, loss offset = 28.15
Run 11: 7.66 seconds, loss offset = 8.25
Run 12: 5.09 seconds, loss offset = 90.04
Run 13: 6.12 seconds, loss offset = 4.43
Run 14: 5.47 seconds, loss offset = 15.06
Run 15: 5.23 seconds, loss offset = 13.23
