Run 1: 7.02 seconds, loss offset = -5.01
Run 2: 9.28 seconds, loss offset = -5.00
Run 3: 4.46 seconds, loss offset = -4.99
Run 4: 11.51 seconds, loss offset = -5.01
Run 5: 5.82 seconds, loss offset = -4.97
Run 6: 7.58 seconds, loss offset = -4.91
Run 7: 8.90 seconds, loss offset = -5.00
Run 8: 11.76 seconds, loss offset = -4.94
Run 9: 5.75 seconds, loss offset = -4.99
Run 10: 4.25 seconds, loss offset = -4.87
Run 11: 8.30 seconds, loss offset = -4.94
Run 12: 10.24 seconds, loss offset = -5.01
Run 13: 9.98 seconds, loss offset = -5.01
Run 14: 9.78 seconds, loss offset = -5.00
Run 15: 6.91 seconds, loss offset = -4.83
