Run 1: 7.47 seconds, loss offset = -5.28
Run 2: 9.56 seconds, loss offset = -5.21
Run 3: 5.33 seconds, loss offset = -5.28
Run 4: 9.18 seconds, loss offset = -5.27
Run 5: 8.31 seconds, loss offset = -5.28
Run 6: 4.56 seconds, loss offset = -5.27
Run 7: 8.19 seconds, loss offset = -4.55
Run 8: 11.00 seconds, loss offset = -4.83
Run 9: 10.20 seconds, loss offset = -5.26
Run 10: 6.88 seconds, loss offset = -5.24
Run 11: 4.48 seconds, loss offset = -5.26
Run 12: 10.61 seconds, loss offset = -5.27
Run 13: 8.00 seconds, loss offset = -5.28
Run 14: 6.12 seconds, loss offset = -5.28
Run 15: 8.00 seconds, loss offset = -4.55
