Run 1: 50.80 seconds, loss offset = 1523.37
Run 2: 5.80 seconds, loss offset = 1346.67
Run 3: 7.62 seconds, loss offset = 1394.93
Run 4: 4.88 seconds, loss offset = 473.05
Run 5: 7.05 seconds, loss offset = 596.93
Run 6: 5.85 seconds, loss offset = 371.37
Run 7: 5.99 seconds, loss offset = 521.98
Run 8: 5.19 seconds, loss offset = 690.79
Run 9: 7.70 seconds, loss offset = 1396.73
Run 10: 6.18 seconds, loss offset = 573.03
Run 11: 6.15 seconds, loss offset = 1418.20
Run 12: 4.52 seconds, loss offset = 617.76
Run 13: 6.00 seconds, loss offset = 526.97
Run 14: 22.85 seconds, loss offset = 285.30
Run 15: 9.93 seconds, loss offset = 564.74
