Run 1: 35.98 seconds, loss offset = 90.90
Run 2: 8.46 seconds, loss offset = 494.18
Run 3: 7.73 seconds, loss offset = 671.07
Run 4: 7.99 seconds, loss offset = 104.05
Run 5: 6.48 seconds, loss offset = 474.49
Run 6: 6.51 seconds, loss offset = 747.73
Run 7: 5.67 seconds, loss offset = 455.14
Run 8: 8.27 seconds, loss offset = 512.24
Run 9: 6.33 seconds, loss offset = 463.34
Run 10: 6.59 seconds, loss offset = 518.71
Run 11: 8.85 seconds, loss offset = 55.49
Run 12: 5.95 seconds, loss offset = 504.49
Run 13: 6.22 seconds, loss offset = 548.80
Run 14: 5.66 seconds, loss offset = 605.47
Run 15: 6.14 seconds, loss offset = 776.23
